,Unnamed: 0.1,Unnamed: 0,Name,Card,Price,Ram,Link
0,0,0,Laptop Acer Aspire 3 A315-58-53S6 NX.AM0SV.005,INTEL,15990000.0,8GB,https://cellphones.com.vn/laptop-acer-aspire-3-a315-58-53s6.html
1,1,1,Laptop MSI Crosshair 15 B12UEZ-460VN,NVIDIA,34990000.0,16GB,https://cellphones.com.vn/laptop-msi-gaming-crosshair-15-b12uez-460vn.html
2,2,2,Laptop Lenovo Ideapad Gaming 3 15IAH7 82S9006YVN,NVIDIA,22300000.0,8GB,https://cellphones.com.vn/laptop-lenovo-ideapad-gaming-3-15iah7-82s9006yvn.html
3,3,3,Laptop Gigabyte G5 GD-51VN123SO,NVIDIA,19990000.0,16GB,https://cellphones.com.vn/laptop-gigabyte-g5-gd-51vn123so.html
4,4,4,Laptop Lenovo Ideapad 3 15IAU7 82RK001GVN,INTEL,13600000.0,8GB,https://cellphones.com.vn/laptop-lenovo-ideapad-3-15iau7-82rk001gvn.html
5,5,5,Laptop HP Pavilion 15-EG2037TX 6K783PA,NVIDIA,16300000.0,8GB,https://cellphones.com.vn/laptop-hp-pavilion-15-eg2037tx-6k783pa.html
6,6,6,Laptop HP 245 G9 6L1N8PA,AMD,13000000.0,8GB,https://cellphones.com.vn/laptop-hp-245-g9-6l1n8pa.html
7,7,7,Laptop Lenovo Ideapad Gaming 3 15IHU6 82K101HGVN,NVIDIA,19600000.0,8GB,https://cellphones.com.vn/laptop-lenovo-ideapad-gaming-3-15ihu6-82k101hgvn.html
8,8,8,Laptop Acer Aspire 3 A315-56-38B1 NX.HS5SV.00G,INTEL,8700000.0,4GB,https://cellphones.com.vn/laptop-acer-aspire-3-a315-56-38b1.html
9,9,9,Laptop Lenovo Ideapad 5 Pro 14ITL6 82L300MAVN,INTEL,22300000.0,16GB,https://cellphones.com.vn/laptop-lenovo-ideapad-5-pro-14itl6-82l300mavn.html
10,10,10,Apple MacBook Air M1 256GB 2020 I Chính hãng Apple Việt Nam,APPLE,22990000.0,8GB,https://cellphones.com.vn/macbook-air-2020-m1.html
11,11,11,Apple Macbook Air M2 2022 8GB 256GB I Chính hãng Apple Việt Nam,APPLE,32990000.0,8GB,https://cellphones.com.vn/macbook-air-m2-2022.html
12,12,12,Mac mini M2 2023 (8 CPU - 10 GPU - 8GB - 256GB) | Chính hãng Apple Việt Nam,APPLE,15990000.0,8GB,https://cellphones.com.vn/mac-mini-m2-2023.html
13,13,13,Laptop Asus Gaming Rog Strix G15 G513IH HN015W,NVIDIA,19000000.0,8GB,https://cellphones.com.vn/laptop-asus-gaming-rog-strix-g15-g513ih-hn015w.html
14,14,14,Apple Macbook Pro 13 M2 2022 8GB 256GB I Chính hãng Apple Việt Nam,APPLE,35990000.0,8GB,https://cellphones.com.vn/macbook-pro-m2-2022.html
15,15,15,Apple Macbook Air M2 2022 16GB 256GB I Chính hãng Apple Việt Nam,APPLE,39990000.0,16GB,https://cellphones.com.vn/macbook-air-m2-2022-16gb.html
16,16,16,Laptop ASUS Gaming TUF FX506LHB-HN188W,NVIDIA,18000000.0,8GB,https://cellphones.com.vn/laptop-asus-gaming-tuf-fx506lhb-hn188w.html
17,17,17,Apple MacBook Pro 13 Touch Bar M1 256GB 2020 I Chính hãng Apple Việt Nam,APPLE,35990000.0,8GB,https://cellphones.com.vn/macbook-pro-2020-13-inch-touch-bar-m1.html
18,18,18,MacBook Pro 14 inch M2 Pro 2023 (10 CPU - 16 GPU - 16GB - 512GB),APPLE,52990000.0,16GB,https://cellphones.com.vn/macbook-pro-14-inch-m2-pro-2023.html
19,19,19,Laptop Lenovo Ideapad Gaming 3 15ARH7,NVIDIA,23900000.0,8GB,https://cellphones.com.vn/laptop-lenovo-ideapad-gaming-3-15arh7-82sb0078vn.html
20,20,20,Laptop Lenovo Ideapad Gaming 3 15ARH7,NVIDIA,27490000.0,8GB,https://cellphones.com.vn/laptop-lenovo-ideapad-gaming-3-15arh7-82sb007kvn.html
21,21,21,Laptop ASUS X515MA-BR481W,INTEL,7600000.0,4GB,https://cellphones.com.vn/laptop-asus-x515ma-br481w.html
22,22,22,Laptop gaming MSI GF63 Thin 11SC 664VN,NVIDIA,16490000.0,8GB,https://cellphones.com.vn/laptop-msi-gaming-gf63-thin-11sc-664vn.html
23,23,23,Apple MacBook Pro 13 M2 2022 16GB 512GB I Chính hãng Apple Việt Nam,APPLE,46990000.0,16GB,https://cellphones.com.vn/macbook-pro-m2-2022-16gb-512gb.html
